rowid,artist,album,track,genre,release_year,null_response,duration_ms,time_signature,tempo,key,mode,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,popularity
47446183,Quartetto Magritte,Cofferatzinger,La grande famiglia,tango,2008,0,372307.0,,177.138,3.0,1.0,0.409,0.0754,-18.907,0.0491,0.855,0.154,0.139,0.238,5
16011309,Versateis,Luz Nova Se Faz,Era uma Vez o Amor,kizomba,2010,0,101400.0,,117.142,7.0,1.0,0.591,0.585,-6.545,0.0324,0.606,0.0,0.158,0.877,2
14458947,Ilaiyaraaja,IIaiyaraaja…The Singer,Amma Janani,tamil pop,2013,0,299533.0,,92.791,0.0,1.0,0.536,0.634,-7.096,0.0288,0.779,0.0,0.155,0.371,6
84962211,Speng Bond,Speng Bond 001,001,dub,2012,0,196075.0,,124.977,1.0,1.0,0.91,0.748,-8.88,0.0446,0.154,0.0,0.0761,0.928,2
25093,Rappin' 4-Tay,Don't Fight The Feelin',I Got Cha Back,g-funk,1994,0,248173.0,,87.186,2.0,1.0,0.893,0.407,-12.244,0.332,0.236,1.24e-06,0.104,0.49,12
107478600,Alejandro y los Véliz Véliz,A Pura Sangre,Una Madre Que Llora,guaracha,2008,0,259613.0,,157.983,2.0,0.0,0.43,0.672,-4.455,0.0328,0.355,0.0,0.0655,0.788,1
199673844,Roberto Torres,Pasa Tiempo,Mis Amigos Salseros,salsa,1974,0,209480.0,,177.315,0.0,1.0,0.643,0.471,-12.668,0.0701,0.302,2.21e-06,0.0683,0.96,3
123242059,Yoandri,THE ROAD TO CLOSURE,YOYO'S HOUSE,latin r&b,2023,0,234720.0,,125.0,2.0,0.0,0.674,0.683,-6.311,0.0558,0.113,0.0305,0.348,0.374,3
33736586,The Sonic Dawn,Psych Box,Japanese Hills,psychedelic rock,2016,0,283239.0,,131.724,6.0,1.0,0.183,0.612,-5.465,0.036,0.126,0.00658,0.075,0.255,2
118247291,The Last Drive,The Last Drive,White Knuckles,garage rock,2018,0,385829.0,,134.008,0.0,1.0,0.205,0.898,-6.407,0.0954,1.24e-05,0.872,0.209,0.314,17
157283688,Música de Ninar para Bebês,Natura & Caixa de Música para o Bebê Relaxar e Dormir Rapidamente,"Hora da Sesta, Natureza",lullaby,2023,0,125000.0,,72.001,5.0,0.0,0.702,0.95,-18.691,0.0487,0.883,0.95,0.114,0.433,4
248041899,Marimba Orquesta Los Alegres de Zunil,"Los Alegrisimos, Vol. 2",Mix Alegria De Mi Pueblo: Lagrimas de Santo Tomas (Regalito de Amor) / Ixtia Chichicasteca,orchestra,2025,0,461699.0,,109.897,7.0,1.0,0.585,0.564,-8.077,0.0317,0.00326,0.86,0.312,0.777,3
110755542,Howard and the White Boys,Rosa's Lounge,Guess Who's Coming to Dinner,blues,2014,0,354920.0,,94.456,11.0,0.0,0.53,0.718,-8.704,0.0432,0.178,0.0337,0.95,0.705,2
105676258,Maurice Couvée,Welkom in Mijn Wereld,Welkom in Mijn Wereld,nederpop,2022,0,185693.0,,169.97,9.0,1.0,0.497,0.241,-9.096,0.0302,0.929,1.53e-06,0.11,0.378,4
125423828,small void,cries,running rabbit,folk punk,2023,0,149351.0,,101.003,0.0,1.0,0.536,0.233,-13.778,0.0324,0.914,0.00262,0.112,0.175,11
110909776,Psicosis,Viviendo en Rabia,Cuidado Ii,ska,2002,0,166867.0,,102.385,10.0,0.0,0.533,0.889,-6.737,0.06,0.00087,0.0102,0.115,0.947,1
189323,Lil Durk,Lil Durk Presents: Loyal Bros 2,Block Is Hot,drill,2022,0,130097.0,,158.091,2.0,1.0,0.79,0.618,-7.354,0.339,0.00692,0.0,0.132,0.651,44
247765740,Ivan Lozano Y Su Impacto Caliente,Impacto Caliente 2,Popurrí Sincero Amor / Sincero Amor / Se Muere / La Media Arepa,sierreño,2025,0,471566.0,,78.108,5.0,1.0,0.712,0.822,-6.048,0.0956,0.028,0.0,0.169,0.731,3
78173690,David Klein Quintett,Jagd auf Rehe,Sei Mal Verliebt,vocal jazz,2020,0,236578.0,,176.415,0.0,1.0,0.449,0.422,-11.916,0.0443,0.777,0.0163,0.129,0.515,3
